"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bahrain","BHR","Net migration","SM.POP.NETM","1268","1089","818","725","498","-421","-727","-836","-893","-917","-1060","4147","6147","6382","6647","6833","6930","6948","6913","6798","6613","4206","3553","3811","4108","4256","4457","4713","4871","4638","4605","6605","6728","6967","7424","7706","7844","7730","7388","6737","6264","5704","4197","28186","53424","53401","53765","54165","53870","52049","-17076","-20040","11754","27227","36320","29250","29052","29024","-3601","-17127","-48716","-9150","0","0",
"Bahamas, The","BHS","Net migration","SM.POP.NETM","2287","2548","2727","2810","2127","2493","2820","3127","3409","3065","1518","827","308","132","173","323","488","587","560","480","369","132","168","245","304","470","392","331","419","527","241","416","436","448","458","463","457","448","442","426","843","293","634","951","1031","800","1737","1728","1476","1617","1899","1384","1048","1001","1001","1001","1001","1001","1001","1001","0","485","1000","1000",
"Bosnia and Herzegovina","BIH","Net migration","SM.POP.NETM","-11702","-11825","-11776","-11732","-11678","-11656","-11692","-11882","-12058","-12381","-12781","-13206","-13522","-13576","-13455","-12973","-12491","-11980","-11242","-10601","-9952","-9379","-9301","-9595","-10320","-11430","-12936","-14854","-17056","-19627","-22827","-26480","-437223","-178713","-157677","126915","173195","80138","24341","25493","8141","9058","-13313","-27396","-68032","-37107","-38642","-65367","-68177","-68227","-67267","-64918","-66436","-37030","-35709","-33976","-32195","-30669","-29154","-27848","-26857","-25865","-500","-500",
"Belarus","BLR","Net migration","SM.POP.NETM","-34548","-30609","-28393","-26948","-25036","-23414","-21781","-19783","-17591","-15337","-12530","-10744","-8455","-7058","-4800","-3446","-2332","-1938","-1429","-2982","-4143","-4674","-3631","-2192","-1048","730","1790","2615","3239","3586","4246","4992","4796","5341","5091","3910","2549","-82","-3171","-7500","-10419","-12414","-13520","-13488","-12943","-11902","-9732","-6448","-2728","2166","4892","7578","9425","10496","12222","13681","15258","15937","15731","15082","13589","12961","30308","-4282",
"Belize","BLZ","Net migration","SM.POP.NETM","-625","-374","-505","-212","-87","40","132","164","97","-237","-1294","-1692","-2030","-2224","-2400","-1625","-1732","-1843","-1963","-1844","-1350","-1418","-1590","-1579","-1515","-1476","-1494","-1502","-1587","-1701","-1793","-1698","-1635","-1525","-802","273","1358","2070","2152","1963","1678","1912","1977","2199","2330","2397","2598","2707","2702","2694","1644","1583","1529","1504","1452","1363","1283","1222","1185","1164","0","577","600","600",
"Bermuda","BMU","Net migration","SM.POP.NETM","-66","397","371","350","352","405","501","396","429","412","240","-298","-346","-367","-360","-339","-369","-340","-339","-432","-158","54","33","-62","-6","-43","-67","-93","-144","-112","-96","-33","33","-18","-3","-72","-87","-71","-165","-121","-67","-148","-127","-127","-191","-80","-182","-299","-181","-264","-216","-208","-243","-254","-233","-315","0","227","306","290","291","291","0","0",
"Bolivia","BOL","Net migration","SM.POP.NETM","-3148","-3636","-4025","-4229","-4356","-4444","-4507","-4584","-4679","-4788","-4913","-5055","-5223","-5459","-5870","-6426","-7066","-7713","-8460","-9923","-11766","-13478","-14580","-15432","-16620","-17558","-18299","-18952","-19567","-20719","-21915","-22984","-24002","-24702","-24528","-23615","-22473","-21294","-20022","-18562","-17675","-16536","-16253","-15499","-15173","-14657","-14110","-13667","-13417","-13056","-12592","-12107","-11688","-11371","-10972","-10525","-10071","-9669","-9345","-8978","-4666","-4666","-3000","-3000",
"Brazil","BRA","Net migration","SM.POP.NETM","51401","369","2383","1837","2787","10232","-6967","-268","-6056","-5043","-3856","-14008","-6485","-3826","-6487","-7793","-15633","8791","7653","8024","11959","-14927","-23807","-17884","-20225","-13535","-24426","-22335","-11309","-2800","6457","-30659","-20270","-21956","-11642","-26337","-24330","-20429","-22409","-26152","-1761","3453","6018","-16908","-5390","-42926","-34007","-30331","-35373","-29357","16843","33631","43451","35308","24940","4764","82589","56362","67934","69186","56880","20376","6425","6000",
"Barbados","BRB","Net migration","SM.POP.NETM","-3850","-3760","-3676","-3571","-3428","-3243","-3052","-2852","-2649","-2355","-1995","-1705","-1480","-1417","-1348","-1256","-1182","-1143","-1176","-1296","-1410","-1517","-1563","-1563","-1547","-1548","-1599","-1659","-1721","-1680","-1295","-643","-620","-659","-687","-752","-807","-804","-756","-588","-833","-103","-121","-145","-159","-172","-160","19","296","75","-36","-54","-64","-65","-65","-65","-65","-65","-65","-65","0","-28","-80","-80",
"Brunei Darussalam","BRN","Net migration","SM.POP.NETM","1484","1311","1419","1470","1590","1656","1694","1702","1676","1607","1484","1193","886","804","764","744","725","741","787","899","993","1128","1481","1605","1724","1816","1899","1932","1886","1811","1670","1325","966","1086","1215","1356","1471","1538","1565","1642","1660","1572","1504","1388","1263","1163","1027","877","710","569","468","-291","-342","-395","-444","-485","-539","-587","-638","-587","-395","-192","0","0",
