"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Heavily indebted poor countries (HIPC)","HPC","Net migration","SM.POP.NETM","-83533","-79670","-109851","-101617","-49265","-37476","-26859","11978","22619","-39578","-19463","-159715","-223350","-80909","27577","-85640","-267102","-667088","327371","-611896","-2375499","-2096631","-674980","-483862","-152548","-615495","-779175","-792464","-815407","-629064","-1673421","-690497","1101436","816012","119311","-159930","-617944","-850449","-531909","-575014","-1651682","-802955","646391","-266275","-832272","-342704","-695753","-1558277","-609343","-937537","-1201553","-774337","-927382","-625153","-34392","-589781","370860","50447","-243350","-472979","60641","-537784","-518316","-520272",
"Croatia","HRV","Net migration","SM.POP.NETM","-2176","-1538","-1015","-679","-649","-420","-483","-922","-1671","-2814","-4120","-5625","-6536","-6960","-7085","-6653","-5743","-3997","-1469","1612","5588","10294","13490","15293","16236","15822","14071","11068","6641","588","-7183","-47995","-34344","29470","27267","-52246","-48626","-53064","-48299","-48578","-50791","-17581","-12562","-8641","-5673","-3834","-2720","-2207","-2613","-3675","-5624","-8241","-10440","-11833","-12849","-13408","-13569","-13654","-13171","-12480","-11592","-10402","-2000","-2000",
"Haiti","HTI","Net migration","SM.POP.NETM","-13788","-15162","-16264","-16861","-17193","-17423","-17708","-17841","-18102","-18356","-18441","-18526","-18636","-18699","-18810","-18691","-19087","-19430","-19829","-20795","-22125","-22337","-23399","-23969","-24456","-24908","-25286","-25548","-25687","-25881","-26101","-26326","-26514","-26640","-26862","-27130","-27373","-27515","-27495","-27334","-27098","-26837","-26642","-26534","-26422","-26304","-26641","-27017","-27644","-27949","-28437","-29049","-29679","-30347","-31416","-32698","-33902","-34766","-35007","-34635","-33872","-32977","-32248","-31811",
"Hungary","HUN","Net migration","SM.POP.NETM","-1446","-821","-2054","-342","-751","-1057","-645","255","-922","164","583","1235","818","289","474","1861","1225","384","1338","4787","-18988","-18148","-17999","-17700","-17752","-16765","-16940","-16603","-16466","-17359","17545","19281","17604","17225","17065","16934","16527","16324","15643","14610","15478","9927","2412","14182","16803","16615","20926","14398","16664","19182","11394","889","16048","5296","11571","14166","-982","18044","31976","33559","9042","19870","616038","-156677",
"IBRD only","IBD","Net migration","SM.POP.NETM","-520193","-516011","-594874","-707292","-680986","-794931","-744747","-774149","-814781","-784640","-1054715","-1121354","-970128","-987385","-1084949","-600509","-145848","-239642","-1115079","-763426","-360437","136242","-797144","-303084","-588851","-844418","-721875","-1044095","-926174","-1325712","207460","-2042178","-2496591","-2913431","-2012200","-1997117","-1690457","-1453726","-1399493","-1306715","-1086373","-1536038","-2187406","-1502952","-1131539","-1974957","-2806971","-3017508","-1957406","-1881735","-944064","-1127641","532511","1875644","1706308","1000168","-506027","-843048","-1650617","-1665510","-200387","-816651","-2752474","-1481047",
"IDA & IBRD total","IBT","Net migration","SM.POP.NETM","-593488","-670672","-762587","-865675","-776278","-832985","-851247","-801921","-886323","-1058375","-1606311","-1943444","-1834018","-1736769","-1685650","-1388992","-1259923","-1491331","-1537752","-1504274","-1860616","-1309842","-1252628","-1419991","-1427627","-1588324","-1838057","-2045687","-2200513","-2422678","-1708073","-3325266","-3055723","-2787435","-2776557","-2711164","-3017741","-3065388","-2997482","-2925317","-2836486","-2836546","-3441316","-3526798","-3654102","-4388235","-5172460","-5955151","-5548243","-4633243","-3567080","-3946885","-3929930","-3705364","-3390883","-3920933","-3881250","-4107622","-4083590","-3891389","-689611","-2014815","-3446461","-2147048",
"IDA total","IDA","Net migration","SM.POP.NETM","-73295","-154661","-167713","-158383","-95292","-38054","-106500","-27772","-71542","-273735","-551596","-822090","-863890","-749384","-600701","-788483","-1114075","-1251689","-422673","-740848","-1500179","-1446084","-455484","-1116907","-838776","-743906","-1116182","-1001592","-1274339","-1096966","-1915533","-1283088","-559132","125996","-764357","-714047","-1327284","-1611662","-1597989","-1618602","-1750113","-1300508","-1253910","-2023846","-2522563","-2413278","-2365489","-2937643","-3590837","-2751508","-2623016","-2819244","-4462441","-5581008","-5097191","-4921101","-3375223","-3264574","-2432973","-2225879","-489224","-1198164","-693987","-666001",
"IDA blend","IDB","Net migration","SM.POP.NETM","17337","-86311","-78372","-76356","-72617","-57101","-79379","-66198","-72555","-86864","-137169","-254465","-231896","-197340","-114191","-32731","-24066","49713","-25830","394535","1603755","988372","388379","-574919","-381870","207415","103309","272954","134378","33360","28370","-97838","-1330261","-229168","-404173","189426","46043","41418","75399","49466","851379","250304","-986195","-683433","-639997","-829687","-714713","-733553","-682008","-428201","-551721","-1032402","-1747481","-2046249","-2146312","-2459914","-2461971","-1778968","-1638982","-1487064","-694545","-677855","-282835","-282538",
"Indonesia","IDN","Net migration","SM.POP.NETM","50818","51816","53132","55084","72412","-61146","-77641","-80155","55732","82958","81364","79266","72010","64990","61188","56388","48001","45610","45920","43900","42246","44710","46789","47375","43693","37447","30990","26709","25379","19910","11542","3096","-2608","-3474","-2576","-1651","-1856","-4332","-11356","-28804","-42697","-64261","-83985","-97733","-102669","-102380","-101108","-103121","-108492","-98211","-77010","-54051","-38499","-36670","-37324","-37991","-38653","-39282","-39878","-40567","-24999","-14992","-49997","-49997",
"IDA only","IDX","Net migration","SM.POP.NETM","-90632","-68350","-89341","-82027","-22675","19047","-27121","38426","1013","-186871","-414427","-567625","-631994","-552044","-486510","-755752","-1090009","-1301402","-396843","-1135383","-3103934","-2434456","-843863","-541988","-456906","-951321","-1219491","-1274546","-1408717","-1130326","-1943903","-1185250","771129","355164","-360184","-903473","-1373327","-1653080","-1673388","-1668068","-2601492","-1550812","-267715","-1340413","-1882566","-1583591","-1650776","-2204090","-2908829","-2323307","-2071295","-1786842","-2714960","-3534759","-2950879","-2461187","-913252","-1485606","-793991","-738815","205321","-520309","-411152","-383463",
"Isle of Man","IMN","Net migration","SM.POP.NETM","-685","216","649","682","661","657","1086","1369","1425","1443","1271","1115","997","990","1040","999","1071","1114","1126","1133","1121","471","234","177","153","159","991","1306","1300","1312","1266","761","530","561","461","469","877","1021","984","1061","978","847","779","784","731","684","765","780","748","676","663","7","-244","-276","-276","-231","107","275","272","239","235","517","340","340",
"India","IND","Net migration","SM.POP.NETM","52264","114181","110398","48986","5837","19077","-144807","-124336","-184326","-171683","-45792","-220417","-60291","-62763","-168162","-225989","-436104","-31092","-13841","68198","202323","23662","-26106","46174","-57788","-112781","-258917","-232178","-103742","-13987","108465","-158007","8198","2440","110095","-57139","-26079","1240","-28485","-106592","-149966","-177306","-208070","-255516","-214351","-550186","-678231","-769184","-846785","-803437","-380087","-244114","-180991","-236387","-310694","-475094","68119","-219656","-561563","-593495","-34772","-301970","-487303","-486136",
"Not classified","INX","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Net migration","SM.POP.NETM","-38971","-22213","-16724","-15819","-15345","-13782","-11943","-11157","-11056","-9924","-8610","6605","14429","14280","14103","14124","14263","14817","15368","2256","-2183","-10264","-13958","-14344","-15026","-15690","-20837","-37837","-43657","-28672","-8183","5097","1544","-3195","-2940","10186","9856","17948","16726","23375","31230","39480","34478","32763","49526","64192","94996","77427","19349","-18556","-27110","-26351","-22002","-12015","714","13130","18978","29200","33647","29113","15320","15320","9999","9999",
"Iran, Islamic Rep.","IRN","Net migration","SM.POP.NETM","24066","45680","64099","77744","89360","95420","66156","44993","36935","45481","59763","47734","66558","74729","73218","76834","-11275","38058","40073","45412","66006","1266083","69511","95824","87876","82961","104653","97248","63143","59563","1375419","194979","-203400","-1595940","-197490","-120114","7728","198135","288994","277986","394594","393336","-568950","370945","369535","323987","252053","139826","90815","99224","127703","-150029","19635","23351","653255","628310","23759","7709","-29981","-34571","-156669","28080","-39998","-39998",
"Iraq","IRQ","Net migration","SM.POP.NETM","1573","2981","3343","3197","3224","4555","1298","2531","928","312","1377","-6479","-2600","-1507","-4090","-6237","-13915","8204","7434","-20617","15757","-23640","-22302","23115","21709","-199505","39136","-108426","-81562","19392","-601469","-95155","20292","581818","54355","40424","14652","15429","48446","69491","87624","14451","133839","-27236","69948","51019","-1204180","-836565","406488","120311","107297","281089","767449","491588","10514","-19490","-75580","-9899","6660","-29880","71539","-60097","-6000","-6000",
"Iceland","ISL","Net migration","SM.POP.NETM","-248","226","-163","-97","-179","-273","14","74","-471","-1421","-1701","-269","345","-309","194","-367","-1191","-1092","-778","-560","-601","158","606","176","-336","-628","-339","957","1592","-993","-969","1141","-227","-211","-817","-1413","-530","197","1006","1156","1874","856","-346","-223","611","3918","5295","5247","1122","-4793","-2077","-1427","-304","1648","1116","1477","4113","8316","6611","5152","2573","622","380","380",
"Israel","ISR","Net migration","SM.POP.NETM","39949","45137","49732","53440","56462","58426","59410","59278","57476","53803","48257","40188","30210","21710","13781","6973","1752","-1517","-2403","-2098","601","5320","12199","20644","27420","34721","41273","46650","51536","54858","57467","58649","58407","57436","54473","50609","45033","39354","34794","30680","27257","23407","20672","17619","15542","13756","12464","10792","9587","7978","9580","9605","9909","10650","10836","12049","13263","14518","15615","16132","16569","16856","9999","9999",
"Italy","ITA","Net migration","SM.POP.NETM","-145608","-133680","-34465","-32983","-28503","-37417","-41084","-40540","-59536","-47564","-67909","-58091","46122","47614","46875","46976","54058","53296","49142","48337","261163","-9842","-43214","-36074","-31310","-19940","-16397","-5191","7922","13310","21268","20830","27442","27613","24764","28851","54527","51034","42190","39982","49166","47084","222527","478254","417189","250910","210398","485871","413349","280126","270043","195257","249033","154366","50102","34031","49591","70475","75863","21615","28021","28021","58496","58496",
"Jamaica","JAM","Net migration","SM.POP.NETM","-29946","-29415","-28937","-28761","-29071","-29615","-30068","-30149","-29422","-27308","-24366","-21320","-18932","-17830","-17774","-18344","-19088","-19629","-19471","-18142","-16273","-14619","-13950","-15060","-18216","-22369","-26338","-28956","-29249","-28052","-26080","-24007","-22430","-21726","-20957","-20084","-19290","-18758","-18619","-18545","-18500","-18461","-18427","-18382","-18261","-18072","-17846","-17588","-17188","-15946","-14244","-12578","-11494","-11329","-11329","-11329","-11329","-11329","-11329","-11329","0","-5664","-10999","-10999",
"Jordan","JOR","Net migration","SM.POP.NETM","15509","11097","8098","8763","17018","29737","41882","50397","50036","40481","25894","8976","-2622","-8072","-12024","-14822","-17309","-15132","-13701","-7706","1735","9659","16944","21487","24316","28040","30763","34646","39873","50941","66103","75826","85370","81580","61531","27992","-2650","-23017","-27035","-27528","-26074","-22895","-18467","-11700","7979","3500","502609","-18108","767","-49687","4872","7057","-146181","776237","803008","490844","49192","41956","33554","28963","18092","14374","-141192","-157392",
"Japan","JPN","Net migration","SM.POP.NETM","-46245","-33403","-18594","3819","29206","49763","65702","74137","93749","116285","124197","110997","93814","67245","38925","22942","47790","31569","852","-21454","-30594","-39929","-32081","-18563","-11510","-8228","-12925","-3413","8399","17970","26291","31126","34064","39228","41331","38572","41491","46477","56577","72925","84477","93257","102260","119257","135835","153248","160536","163068","158396","159210","148460","139793","137344","134721","139401","150215","156993","164070","177470","183953","87584","87584","99994","99994",
"Kazakhstan","KAZ","Net migration","SM.POP.NETM","83541","85040","89864","93859","97674","102579","100894","104827","104853","76637","19825","-24759","-18932","-14649","-14033","-12192","-15857","3774","-2313","-2981","4615","-1224","2273","10256","6529","4937","79751","80549","88799","-75336","-108425","-104305","-221599","-292647","-520043","-412725","-427681","-436232","-448726","-165312","-43423","-28743","-13939","-3565","9413","22958","34582","13172","2198","8215","23234","14829","9046","8121","-6299","-12253","-7445","-15903","-31760","-37080","-12432","-18917","0","0",
"Kenya","KEN","Net migration","SM.POP.NETM","2140","4289","4512","4239","4784","8524","1625","5059","1621","374","-13059","-49671","-48467","-52115","-62991","-71454","-91037","-57530","-60759","-56314","-39943","-52794","-43402","-23911","-33268","-35416","-53217","-48647","-31904","-24955","-11341","-60109","-43097","-61086","-40371","-75544","-79310","-80488","-70048","-13257","5407","55052","10426","24180","31530","5496","15763","-11496","29607","7098","-21076","-44800","-42929","-57630","-72415","-95981","-29727","-68704","-115434","-61946","-17106","-52549","-10000","-10000",
"Kyrgyz Republic","KGZ","Net migration","SM.POP.NETM","13949","18358","21222","21962","22282","22875","21867","22157","20914","16863","11294","2642","-1174","-3372","-5819","-7649","-10509","-6731","-7004","-6684","-5090","-6734","-6398","-5529","-28355","-32108","-34777","-33416","-32782","-44108","-37094","-35023","-65295","-103695","-22162","-17460","-9253","-3550","-2405","-7985","-21139","-24266","-25320","-15369","-17310","-27130","-30824","-50440","-37801","-29651","-52547","-46841","-41524","-37188","-32933","-29468","-25279","-27796","-30717","-34270","-14307","-16510","-9999","-9999",
"Cambodia","KHM","Net migration","SM.POP.NETM","-3332","-3314","-2146","-3509","-3942","-7396","-13906","-15569","-18979","-20046","-193005","-80228","-40775","-42063","-45233","-47734","-52762","-55515","-84697","118325","-134549","62758","18479","42939","-32601","1557","42051","42576","-16273","53719","56166","58256","272116","187905","10910","-8706","4674","-4720","12616","-2813","-4248","-4005","-3837","-7286","-5883","-11435","-10451","-9890","-34409","-48418","-43068","-42942","-43999","-46754","-48942","-52272","-40577","-45720","-51685","-55607","-22308","-24262","-29998","-29998",
"Kiribati","KIR","Net migration","SM.POP.NETM","0","0","0","0","0","0","-852","-876","-857","-211","-210","-232","-282","-432","-1614","-1727","-1797","-1849","-1860","-449","-494","-515","-535","-558","-506","-365","-245","-221","-231","-262","-445","-743","-901","-925","-931","-847","-693","-633","-646","-643","-513","-258","-131","-130","-139","-226","-335","-399","-411","-451","-619","-850","-949","-955","-977","-853","-838","-811","-776","-691","-296","-296","-400","-400",
"St. Kitts and Nevis","KNA","Net migration","SM.POP.NETM","-1812","-2347","-2480","-2624","-2655","-2656","-2596","-2501","-2430","-2506","-1280","-831","-814","-852","-911","-929","-931","-899","-862","-865","-799","-849","-940","-922","-892","-894","-845","-828","-825","-835","-861","-240","155","157","165","143","150","122","147","173","248","-5","-195","-214","-228","-222","-205","-192","-174","-171","-160","0","-191","-191","-191","-191","-191","-191","-191","-191","-191","-90","20","20",
"Korea, Rep.","KOR","Net migration","SM.POP.NETM","23626","-73471","-84159","-73934","-103826","-111260","-16700","-16500","-16888","-21204","-28035","-17540","6187","5603","-5223","-37366","-115546","-125737","-138983","-166968","-132395","12782","35326","66688","70940","82082","164516","166109","155682","148363","69252","-279446","-272320","-244650","-235658","-230292","-122607","-125395","-113294","-110955","-72624","-26859","-13515","-22385","-33556","-36504","-28341","-39728","-20513","4715","56092","259829","275552","288205","296280","266322","102075","112523","118642","110799","0","43440","29998","29998",
"Kuwait","KWT","Net migration","SM.POP.NETM","21767","24618","27413","28891","29541","30575","32383","34180","35399","33145","26616","22182","21986","22835","25395","30911","36049","38225","39158","37375","32491","29606","30433","31756","17021","25773","27190","31242","31455","34644","-1196051","460628","52620","-44820","-42817","1693","20602","20792","20819","20438","19193","17088","14550","11232","7427","68878","96486","94844","93141","90945","94736","191544","191164","190228","-84910","259114","-90785","140685","144967","9088","-254177","-36843","11999","11999",
"Latin America & Caribbean (excluding high income)","LAC","Net migration","SM.POP.NETM","-181634","-197399","-223092","-237438","-245935","-233130","-291669","-282565","-313639","-328396","-331675","-400672","-416314","-415474","-430464","-468359","-529048","-355369","-375536","-385025","-546004","-831260","-770690","-719864","-797083","-846012","-951833","-933934","-862231","-888986","-580828","-751994","-702067","-763790","-692125","-778168","-781048","-768053","-768336","-841692","-887172","-897433","-895319","-949656","-866736","-981496","-957924","-932208","-964656","-888412","-514668","-416902","-416369","-458340","-417951","-339557","78679","377456","696616","380712","261813","141522","-426651","-434430",
"Lao PDR","LAO","Net migration","SM.POP.NETM","0","0","0","0","0","0","0","0","0","0","0","0","0","-787","-6000","-13881","-21767","-26952","-27256","-23358","-17366","-11080","-6191","-4105","-2698","-1388","-485","0","-88","-1288","-3100","-5393","-7501","-9394","-11792","-14290","-16589","-32327","-34039","-36679","-34009","-33600","-33635","-36615","-40174","-24171","-24639","-26808","-27282","-27999","-27446","-27661","-26451","-25256","-25666","-12995","-11401","-10400","-10303","-10303","-10303","-10303","-9999","-9999",
"Lebanon","LBN","Net migration","SM.POP.NETM","0","4844","4569","4269","1311","-742","2864","-3434","4506","0","-4508","3042","294","482","-3831","0","700005","0","-694999","-2103","2104","-1799","-12981","-14558","-2785","-1108","33549","607","-1916","-1827","-6595","1159","-970","-5196","-4850","2634","3164","1313","1062","2589","455","-1094","-21543","1674","4974","1224","25126","27944","430","-2700","-40915","2246","124428","733504","301113","-223722","-228173","-230947","-233520","-237572","-115146","-115122","-160237","-177331",
"Liberia","LBR","Net migration","SM.POP.NETM","1891","2124","2189","2167","2189","2435","1964","2180","1973","1991","2294","1305","2022","2283","2094","2038","1259","3548","3492","3492","4012","2755","2536","7864","7518","7482","6536","6832","7738","8153","-712546","78052","56210","7300","-121407","54372","-37922","281480","99203","53643","-2060","7142","-23110","-103564","-1001","101019","77946","65306","17405","1193","2848","91983","-25708","-21995","-26692","-15195","-26822","-24830","-23226","-19697","-10119","-11862","-5000","-5000",
"Libya","LBY","Net migration","SM.POP.NETM","14784","15277","15658","12715","1807","-14590","-20513","-19626","-18378","-16836","-15185","-14218","-7183","17146","34131","43437","45512","47725","50014","52320","54588","56719","58493","59955","18046","11961","5843","1742","1052","984","947","904","843","426","-1762","-5066","-8448","-10908","-11479","-10203","31970","31097","35582","39618","42112","41035","3351","12641","15257","11670","9613","-862825","5211","25760","-1712","-7660","-5081","9208","5835","-1352","-696","-696","-2000","-2000",
"St. Lucia","LCA","Net migration","SM.POP.NETM","-1912","-2084","-2085","-2085","-2082","-2065","-2045","-2013","-1992","-1848","-1390","-1447","-1495","-1577","-1679","-1464","-1476","-1503","-1505","-1442","-1316","-1244","-1269","-1329","-1365","-1381","-1401","-1418","-1438","-1447","-1211","-1072","-737","-905","-1001","-1071","-1077","-1013","-878","-621","-773","-556","-240","-182","-118","-88","-78","-27","59","200","438","181","11","0","0","0","0","0","0","0","0","0","0","0",
"Latin America & Caribbean","LCN","Net migration","SM.POP.NETM","-240354","-253994","-285849","-310437","-320507","-314347","-375662","-368442","-401322","-420707","-412262","-476929","-488804","-487163","-501700","-536851","-600291","-429505","-452263","-461914","-631207","-921578","-860686","-808712","-883903","-927596","-1032454","-1010049","-934047","-957281","-635393","-789362","-736813","-799413","-727304","-812708","-814722","-802462","-798462","-870278","-933168","-949876","-947054","-1001536","-922857","-1043018","-1021265","-998162","-1032747","-958488","-590240","-495889","-488483","-535370","-494419","-424043","-139806","-281608","-338149","-424522","-163087","-273494","-175350","-161670",
"Least developed countries: UN classification","LDC","Net migration","SM.POP.NETM","-168043","-92889","-126089","-126064","-81372","-60693","-121331","-63558","-93621","-254678","-448188","-560198","-598442","-510980","-442039","-694254","-961426","-1168990","-248900","-964327","-2878427","-2205993","-625839","-323220","-102596","-600902","-899316","-995668","-1164167","-922832","-1705165","-969562","1127474","686872","-119197","-683409","-1145503","-1357548","-1040125","-1082863","-2269068","-1313430","16639","-1046503","-1615149","-1250916","-1993656","-2645064","-2158497","-1934142","-1588706","-1131412","-1250886","-969384","-1134842","-1332653","-475522","-891749","-1047798","-926524","96382","-522065","-1007079","-1001888",
"Low income","LIC","Net migration","SM.POP.NETM","-119820","-69706","-96877","-89815","-45176","-34726","-25663","8349","-10990","-82425","-71306","-210276","-299715","-148839","-33889","-127358","-214543","-602653","398625","-494918","-2263561","-1938833","-369588","-363368","130124","-448788","-572324","-670303","-666890","-527461","-1546998","-503171","1320890","464857","10615","115791","6444","-592863","-226209","-296135","-1423135","-350732","1002568","74137","-407758","126174","521584","-276669","-443572","-394395","-585838","-473592","-1460680","-2338520","-1894141","-1696194","-467727","-889608","98978","211518","272582","-343175","284413","311966",
"Liechtenstein","LIE","Net migration","SM.POP.NETM","201","247","270","269","269","266","275","353","438","407","378","243","203","264","204","254","233","194","217","279","267","224","243","251","279","268","234","283","262","249","217","227","233","262","230","288","247","260","204","207","208","110","142","153","114","141","126","124","94","120","86","167","187","195","173","141","175","172","193","178","189","231","150","150",
"Sri Lanka","LKA","Net migration","SM.POP.NETM","-12606","-11097","-9899","-9202","-8695","-8295","-7899","-7693","-8198","-11304","-16297","-22014","-27097","-30602","-33995","-37505","-41298","-45398","-50197","-57696","-66398","-74202","-78992","-78295","-68489","-53596","-38793","-28905","-27896","-30997","-36199","-42400","-48501","-54206","-63104","-73695","-83689","-90691","-92990","-92896","-91900","-15604","-20309","-20932","-1028","-36955","-23795","-19572","-11557","5484","-26603","-13277","-97095","-97189","-97807","-98598","-98896","-98598","-97100","-94897","-92400","-92400","-77495","-77495",
"Lower middle income","LMC","Net migration","SM.POP.NETM","-126512","-306684","-286021","-372066","-355527","-326915","-452548","-372034","-473609","-634753","-818199","-985872","-832311","-923543","-1041459","-769431","-615345","-776000","-1701735","-588672","920995","1605083","-287056","-770280","-1080317","-474255","-906576","-797539","-891398","-723420","1025344","-920422","-2102113","-2187252","-1337418","-1328757","-1528118","-942784","-1002559","-1255706","-538744","-1294021","-3458322","-2393955","-2301690","-3261450","-3215323","-3686954","-4271640","-3446667","-2542014","-2662332","-3307180","-1958979","-2066375","-2966056","-2969756","-2837917","-3521947","-3402110","-1135079","-1371123","-8708216","-280774",
"Low & middle income","LMY","Net migration","SM.POP.NETM","-560590","-662817","-759977","-844901","-764002","-829497","-853298","-642940","-755413","-999658","-1524149","-1938280","-1851579","-1784764","-1708797","-1413406","-1301917","-1427980","-1442331","-1444943","-1817787","-1245158","-1186486","-1360548","-1338054","-1544616","-1756351","-1895260","-2025344","-2323478","-1590838","-3185050","-2890745","-2694063","-2681367","-2533275","-2855158","-2891733","-2848224","-2794756","-3026697","-2736042","-3341082","-3429817","-3546303","-4243223","-4997485","-5794359","-5394735","-4527022","-3451802","-3893393","-3900536","-3668825","-3363111","-3848719","-3685591","-3476694","-3000791","-3109548","-265885","-1600633","-7972971","-1243600",
"Lesotho","LSO","Net migration","SM.POP.NETM","2591","2772","2966","3170","3367","4055","5459","9797","10287","10316","10278","10211","10172","10202","10300","8959","5641","1123","947","960","950","960","967","1016","1065","398","-1321","-9727","-11357","-12087","-12891","-13676","-14381","-15018","-15511","-16279","-17727","-20220","-21347","-22483","-23572","-24606","-25582","-26420","-27129","-22692","-11085","-9748","-3102","-4626","-6204","-6852","-6827","-6452","-5466","-4129","-3861","-3327","-3234","-2989","-1490","-1490","-4000","-4000",
"Late-demographic dividend","LTE","Net migration","SM.POP.NETM","-343056","-373030","-460803","-502558","-447596","-337765","-224221","-322051","-317821","-217426","-523078","-372056","-402738","-401737","-341338","-123085","672516","153252","-646053","-437751","-136282","-293857","-234537","-40234","-138027","-55253","35165","-93325","-250091","-885656","-1633001","-790604","-1305174","-1067330","-972336","-963875","-877844","-799035","-712985","-450172","-252503","-493410","-425778","-524763","-305339","-132851","588161","954960","805398","676814","-1789","406473","483627","999874","164919","174084","152609","494417","433752","45880","-128646","60109","5247944","-2428055",
"Lithuania","LTU","Net migration","SM.POP.NETM","-463","-523","-630","-558","-416","-206","300","740","2158","3301","4818","4276","5230","6733","7976","9117","10254","10741","11566","12398","11762","11830","11415","10716","9307","7892","5998","3333","303","-3043","-7205","-10338","-13235","-15569","-18110","-20394","-22642","-25088","-27099","-29076","-31240","-33177","-33905","-34848","-35427","-35453","-34885","-33813","-32451","-30706","-28864","-26445","-24664","-22781","-20883","-18912","-17334","-15937","-14451","-13398","-12625","-11853","-15192","-13128",
"Luxembourg","LUX","Net migration","SM.POP.NETM","29","1993","2140","2047","2092","2182","2128","749","798","781","835","4229","4098","2613","2706","2830","2823","2825","3125","660","784","361","288","319","178","961","2038","2121","2671","2913","3925","3994","3934","3963","3753","4225","3567","3594","3724","4642","4407","3339","2684","5400","4482","6190","5568","6185","7960","6745","7793","10787","10251","10553","11181","11373","12535","9563","10096","10365","6952","6949","5222","4883",
"Latvia","LVA","Net migration","SM.POP.NETM","13775","14363","14657","14822","14958","14864","14567","14242","13806","13265","12583","11792","11383","11264","11343","11464","11682","11946","12102","12204","11846","11151","10219","9020","7471","5557","3133","315","-3045","-6923","-10252","-13008","-15314","-17257","-18818","-20017","-20842","-21349","-21441","-21131","-20514","-19909","-19291","-18671","-18142","-17620","-17116","-16590","-15933","-15152","-14321","-13447","-12981","-12505","-11830","-11163","-10340","-9498","-8632","-7903","-7381","-6815","-8466","-7630",
"Macao SAR, China","MAC","Net migration","SM.POP.NETM","-8044","3673","4053","4338","4707","5118","5461","5743","5933","5884","5236","-2476","-2092","-1821","-1615","-1513","-1516","-1712","-2058","-2402","-2496","4021","5737","5835","6116","6397","6849","7269","7577","7482","7443","6206","3407","3464","3516","3740","3885","4068","4115","4227","4134","6581","11276","11452","11508","11407","11402","11333","11325","11257","11168","9169","6156","6050","6034","6465","6962","7727","8219","8578","8441","4004","5000","5000",
"St. Martin (French part)","MAF","Net migration","SM.POP.NETM","0","0","0","0","0","38","78","100","-38","-37","-35","-34","-32","-32","-15","56","38","22","5","-12","-27","-50","1590","1964","1988","2009","2022","2020","2005","1973","2","-512","-554","-603","-651","-704","-760","-827","-899","-392","159","158","161","158","158","150","128","98","52","-9","-447","-857","-962","-1013","-865","-662","-734","-816","-1356","-949","-949","-948","0","0",
"Morocco","MAR","Net migration","SM.POP.NETM","-19418","-41561","-29267","-57523","-47413","-34401","-28290","-24525","-26517","-25803","-26172","-39372","-47253","-51797","-52945","-52014","-58073","-32181","-30603","-27391","-17644","-26896","-32757","-37417","-51472","-56186","-104360","-110291","-107903","-109031","-104908","-130743","-118907","-121197","-115414","-97336","-98110","-95238","-94306","-91664","-90376","-84706","-91645","-108908","-66711","-58941","-72241","-73718","-78864","-82207","-70490","-67369","-65136","-67026","-72062","-81202","-57256","-71807","-89007","-91959","-33807","-46242","-39998","-39998",
"Monaco","MCO","Net migration","SM.POP.NETM","85","34","270","309","257","208","125","35","380","447","397","338","280","233","230","504","510","466","441","404","354","316","506","525","522","500","469","438","408","381","347","328","325","322","306","290","287","291","260","163","16","-65","-61","-73","-106","-137","-180","-229","318","795","823","858","955","960","988","1019","416","416","416","416","206","206","200","200",
"Moldova","MDA","Net migration","SM.POP.NETM","28097","25508","22657","19903","17448","15211","13380","11574","10306","8463","6404","4819","3565","3273","2688","2779","2098","1026","-787","-3019","-3830","-4815","-5423","-5835","-6305","-6410","-7486","-8289","-9691","-12238","-14931","-16473","-17859","-19258","-21551","-25033","-29171","-34189","-40503","-47481","-44421","-46128","-46960","-49890","-40505","-51269","-68092","-69289","-70166","-70926","-86459","-88796","-91035","-90637","-67173","-59404","-51633","-43868","-36088","-28328","-14278","-14278","462866","-125204",
"Madagascar","MDG","Net migration","SM.POP.NETM","0","0","0","-15","-218","-560","-972","-1398","-1778","-2212","-2657","-3118","-3579","-4038","-4603","-5174","-5659","-5957","-5879","-5130","-4002","-2864","-2102","-1988","-1976","-1956","-1928","-1901","-1883","-1848","-1792","-1751","-1901","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","485","-1487","-742","-742","-1500","-1500",
