longitude,latitude,OBJECTID,market_settlement_name,product_description,secondary_editor,editor,other_market_type_goods,market_type_goods,source,timestamp,market_name,market_days_monday,market_days_tuesday,market_days_wednesday,market_days_thursday,market_days_friday,market_days_saturday,market_days_sunday,total_market_days,wardcode,id,lat,lon
3.03667,8.62629,110682,Orisunbare,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Orisunbare Market,,,,,,,,,OYSSWT05,110682,8.63,3.04
3.41347,8.6224,110683,Abimbola,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Abimbola Market,,,,,,,,,OYSSWT03,110683,8.62,3.41
11.17842,9.84334,110684,Banganje,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Banganje Market,,,,,,,,,GMSBLR08,110684,9.84,11.18
11.21125,9.9499,110685,Sunday Kada Uku,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Sunday Market Kada Uku,,,,,,,,,GMSBLR04,110685,9.95,11.21
11.04126,9.72372,110686,Friday Kwaya,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Friday Market Kwaya,,,,,,,,,GMSBLR10,110686,9.72,11.04
11.04,9.80287,110687,Wedesday,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Wedesday Market,,,,,,,,,GMSBLR07,110687,9.8,11.04
10.97577,9.7539,110688,Tuesday Panguru,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Tuesday Market Panguru,,,,,,,,,GMSBLR10,110688,9.75,10.98
11.15872,9.80449,110689,Tuesday Potede,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Tuesday Market Potede,,,,,,,,,GMSBLR07,110689,9.8,11.16
11.18922,9.84471,110690,Wednesday,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Wednesday Market,,,,,,,,,GMSBLR02,110690,9.84,11.19
11.05881,9.69916,110691,Friday Tudu,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Friday Market Tudu,,,,,,,,,GMSBLR10,110691,9.7,11.06
11.11845,9.9219,110692,Monday World Bank,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Monday Market World Bank,,,,,,,,,GMSBLR06,110692,9.92,11.12
11.1895,10.2734,110693,Bamusa,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Bamusa Market,,,,,,,,,GMSGME10,110693,10.27,11.19
11.18324,10.27588,110694,Mammy Army,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Mammy Army,,,,,,,,,GMSGME10,110694,10.28,11.18
11.13869,10.2868,110695,Bauchi Road,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Bauchi Road Market,,,,,,,,,GMSGME01,110695,10.29,11.14
11.1668,10.27015,110696,Goat and Sheep,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Goat and Sheep Market,,,,,,,,,GMSGME10,110696,10.27,11.17
11.16687,10.28858,110697,Gombe Local Government Shopping Complex,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Gombe Local Government Shopping Complex,,,,,,,,,GMSGME06,110697,10.29,11.17
11.16958,10.30351,110698,Kasunan Mata Jauro Abare,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Kasunan Mata Jauro Abare,,,,,,,,,GMSGME11,110698,10.3,11.17
