states,indicators,Date,Value
Nassarawa,"Pupils in Primary School, Total",1999,376561
Nassarawa,"Pupils in Primary School, Total",2000,366949
Nassarawa,"Pupils in Primary School, Total",2001,341029
Nassarawa,"Pupils in Primary School, Total",2002,339890
Nassarawa,"Pupils in Primary School, Total",2003,339890
Nassarawa,"Pupils in Primary School, Total",2004,424902
Nassarawa,"Pupils in Primary School, Total",2005,449811
Nassarawa,"Pupils in Primary School, Total",2006,490086
Nassarawa,"Pupils in Primary School, Total",2007,384904
Nassarawa,"Pupils in Primary School, Total",2008,328303
Nassarawa,"Pupils in Primary School, Total",2009,306217
Nassarawa,"Number of nomadic primary school, Total",2004,51
Nassarawa,"Number of nomadic primary school, Total",2005,53
Nassarawa,"Number of nomadic primary school, Total",2006,53
Nassarawa,"Number of nomadic primary school, Total",2007,53
Nassarawa,"Number of nomadic primary school, Total",2008,40
Nassarawa,"Number of nomadic primary school pupils, Total",2004,7328
Nassarawa,"Number of nomadic primary school pupils, Total",2005,7364
Nassarawa,"Number of nomadic primary school pupils, Total",2006,7364
Nassarawa,"Number of nomadic primary school pupils, Total",2007,7364
Nassarawa,"Number of nomadic primary school pupils, Total",2008,6408
Nassarawa,"Private secondary schools, Total",2006,46
Nassarawa,"Private secondary schools, Total",2007,75
Nassarawa,"Public Primary School, Total",2005,1276
Nassarawa,"Public Primary School, Total",2006,1305
Nassarawa,"Public Primary School, Total",2007,1130
Nassarawa,"Public Primary School, Total",2008,1411
Nassarawa,"Public Primary School, Total",2009,1652
Nassarawa,"Public Secondary schools, Total",2005,276
Nassarawa,"Public Secondary schools, Total",2006,276
Nassarawa,"Public Secondary schools, Total",2007,483
Nassarawa,"Public Secondary schools, Total",2008,483
Nassarawa,"Public Secondary schools, Total",2009,483
Abuja,"Pupils in Primary School, Total",1999,131003
Abuja,"Pupils in Primary School, Total",2000,166415
Abuja,"Pupils in Primary School, Total",2001,162912
Abuja,"Pupils in Primary School, Total",2002,193217
Abuja,"Pupils in Primary School, Total",2003,193217
Abuja,"Pupils in Primary School, Total",2004,191540
Abuja,"Pupils in Primary School, Total",2005,196249
Abuja,"Pupils in Primary School, Total",2006,334394
Abuja,"Pupils in Primary School, Total",2007,240549
Abuja,"Pupils in Primary School, Total",2008,226732
Abuja,"Pupils in Primary School, Total",2009,182222
Abuja,"Number of nomadic primary school, Total",2004,39
Abuja,"Number of nomadic primary school, Total",2005,41
Abuja,"Number of nomadic primary school, Total",2006,41
Abuja,"Number of nomadic primary school, Total",2007,41
Abuja,"Number of nomadic primary school, Total",2008,30
Abuja,"Number of nomadic primary school pupils, Total",2004,3905
Abuja,"Number of nomadic primary school pupils, Total",2005,3945
Abuja,"Number of nomadic primary school pupils, Total",2006,3945
Abuja,"Number of nomadic primary school pupils, Total",2007,3945
Abuja,"Number of nomadic primary school pupils, Total",2008,4182
Abuja,"Private secondary schools, Total",2006,20
Abuja,"Private secondary schools, Total",2007,64
Abuja,"Public Primary School, Total",2005,435
Abuja,"Public Primary School, Total",2006,448
Abuja,"Public Primary School, Total",2007,454
Abuja,"Public Primary School, Total",2008,465
Abuja,"Public Primary School, Total",2009,477
Abuja,"Public Secondary schools, Total",2005,69
Abuja,"Public Secondary schools, Total",2006,69
Abuja,"Public Secondary schools, Total",2007,85
Abuja,"Public Secondary schools, Total",2008,85
Abuja,"Public Secondary schools, Total",2009,85
Abia,"Pupils in Primary School, Total",1999,333767
Abia,"Pupils in Primary School, Total",2000,653473
Abia,"Pupils in Primary School, Total",2001,731611
Abia,"Pupils in Primary School, Total",2002,671595
Abia,"Pupils in Primary School, Total",2003,671595
Abia,"Pupils in Primary School, Total",2004,388924
Abia,"Pupils in Primary School, Total",2005,395386
Abia,"Pupils in Primary School, Total",2006,291472
Abia,"Pupils in Primary School, Total",2007,249733
Abia,"Pupils in Primary School, Total",2008,228694
Abia,"Pupils in Primary School, Total",2009,237535
Abia,"Number of nomadic primary school, Total",2004,6
Abia,"Number of nomadic primary school, Total",2005,8
Abia,"Number of nomadic primary school, Total",2006,9
Abia,"Number of nomadic primary school, Total",2007,81
Abia,"Number of nomadic primary school, Total",2008,86
Abia,"Number of nomadic primary school pupils, Total",2004,1246
Abia,"Number of nomadic primary school pupils, Total",2005,1308
Abia,"Number of nomadic primary school pupils, Total",2006,1387
Abia,"Number of nomadic primary school pupils, Total",2007,5506
Abia,"Number of nomadic primary school pupils, Total",2008,15183
Abia,"Private secondary schools, Total",2006,144
Abia,"Private secondary schools, Total",2007,222
Abia,"Private secondary schools, Total",2008,240
Abia,"Private secondary schools, Total",2009,280
Abia,"Public Primary School, Total",2005,958
Abia,"Public Primary School, Total",2006,1458
Abia,"Public Primary School, Total",2007,1483
Abia,"Public Primary School, Total",2008,1518
Abia,"Public Primary School, Total",2009,1605
Abia,"Public Secondary schools, Total",2005,231
Abia,"Public Secondary schools, Total",2006,231
Abia,"Public Secondary schools, Total",2007,653
Abia,"Public Secondary schools, Total",2008,653
Abia,"Public Secondary schools, Total",2009,653
Adamawa,"Pupils in Primary School, Total",1999,514647
Adamawa,"Pupils in Primary School, Total",2000,512983
Adamawa,"Pupils in Primary School, Total",2001,451703
Adamawa,"Pupils in Primary School, Total",2002,509617
Adamawa,"Pupils in Primary School, Total",2003,509617
Adamawa,"Pupils in Primary School, Total",2004,428903
Adamawa,"Pupils in Primary School, Total",2005,414678
Adamawa,"Pupils in Primary School, Total",2006,443143
Adamawa,"Pupils in Primary School, Total",2007,405232
Adamawa,"Pupils in Primary School, Total",2008,387663
Adamawa,"Pupils in Primary School, Total",2009,378433
Adamawa,"Number of nomadic primary school, Total",2004,74
Adamawa,"Number of nomadic primary school, Total",2005,77
Adamawa,"Number of nomadic primary school, Total",2006,77
Adamawa,"Number of nomadic primary school, Total",2007,77
Adamawa,"Number of nomadic primary school, Total",2008,79
Adamawa,"Number of nomadic primary school pupils, Total",2004,7329
Adamawa,"Number of nomadic primary school pupils, Total",2005,7400
Adamawa,"Number of nomadic primary school pupils, Total",2006,7400
Adamawa,"Number of nomadic primary school pupils, Total",2007,7400
Adamawa,"Number of nomadic primary school pupils, Total",2008,10197
Adamawa,"Private secondary schools, Total",2006,6
Adamawa,"Private secondary schools, Total",2007,22
Adamawa,"Public Primary School, Total",2005,1668
Adamawa,"Public Primary School, Total",2006,1614
Adamawa,"Public Primary School, Total",2007,1623
Adamawa,"Public Primary School, Total",2008,1680
Adamawa,"Public Primary School, Total",2009,1890
Adamawa,"Public Secondary schools, Total",2005,125
Adamawa,"Public Secondary schools, Total",2006,125
Adamawa,"Public Secondary schools, Total",2007,296
Adamawa,"Public Secondary schools, Total",2008,296
Adamawa,"Public Secondary schools, Total",2009,296
Akwa Ibom,"Pupils in Primary School, Total",1999,792967
Akwa Ibom,"Pupils in Primary School, Total",2000,651626
Akwa Ibom,"Pupils in Primary School, Total",2001,727846
Akwa Ibom,"Pupils in Primary School, Total",2002,1011599
Akwa Ibom,"Pupils in Primary School, Total",2003,1011599
Akwa Ibom,"Pupils in Primary School, Total",2004,1466622
Akwa Ibom,"Pupils in Primary School, Total",2005,1491960
Akwa Ibom,"Pupils in Primary School, Total",2006,775319
Akwa Ibom,"Pupils in Primary School, Total",2007,1382050
Akwa Ibom,"Pupils in Primary School, Total",2008,820171
Akwa Ibom,"Pupils in Primary School, Total",2009,855007
Akwa Ibom,"Number of nomadic primary school, Total",2004,14
Akwa Ibom,"Number of nomadic primary school, Total",2005,16
Akwa Ibom,"Number of nomadic primary school, Total",2006,16
Akwa Ibom,"Number of nomadic primary school, Total",2007,16
Akwa Ibom,"Number of nomadic primary school, Total",2008,39
Akwa Ibom,"Number of nomadic primary school pupils, Total",2004,6225
Akwa Ibom,"Number of nomadic primary school pupils, Total",2005,6285
Akwa Ibom,"Number of nomadic primary school pupils, Total",2006,6285
Akwa Ibom,"Number of nomadic primary school pupils, Total",2007,6285
Akwa Ibom,"Number of nomadic primary school pupils, Total",2008,6285
Akwa Ibom,"Private secondary schools, Total",2006,58
Akwa Ibom,"Private secondary schools, Total",2007,120
Akwa Ibom,"Public Primary School, Total",2005,1318
Akwa Ibom,"Public Primary School, Total",2006,1141
Akwa Ibom,"Public Primary School, Total",2007,1143
Akwa Ibom,"Public Primary School, Total",2008,1143
Akwa Ibom,"Public Primary School, Total",2009,1146
Akwa Ibom,"Public Secondary schools, Total",2005,325
Akwa Ibom,"Public Secondary schools, Total",2006,325
Akwa Ibom,"Public Secondary schools, Total",2007,608
Akwa Ibom,"Public Secondary schools, Total",2008,608
Akwa Ibom,"Public Secondary schools, Total",2009,608
Anambra,"Pupils in Primary School, Total",1999,321725
Anambra,"Pupils in Primary School, Total",2000,338748
Anambra,"Pupils in Primary School, Total",2001,326783
Anambra,"Pupils in Primary School, Total",2002,402947
Anambra,"Pupils in Primary School, Total",2003,402947
Anambra,"Pupils in Primary School, Total",2004,505562
Anambra,"Pupils in Primary School, Total",2005,514713
Anambra,"Pupils in Primary School, Total",2006,411412
Anambra,"Pupils in Primary School, Total",2007,439484
Anambra,"Pupils in Primary School, Total",2008,513421
Anambra,"Pupils in Primary School, Total",2009,584170
Anambra,"Number of nomadic primary school, Total",2004,94
Anambra,"Number of nomadic primary school, Total",2005,94
Anambra,"Number of nomadic primary school, Total",2006,125
Anambra,"Number of nomadic primary school, Total",2007,92
Anambra,"Number of nomadic primary school, Total",2008,92
Anambra,"Number of nomadic primary school pupils, Total",2004,14468
Anambra,"Number of nomadic primary school pupils, Total",2005,14561
Anambra,"Number of nomadic primary school pupils, Total",2006,17053
Anambra,"Number of nomadic primary school pupils, Total",2007,15466
Anambra,"Number of nomadic primary school pupils, Total",2008,13908
Anambra,"Private secondary schools, Total",2006,25
Anambra,"Private secondary schools, Total",2007,351
Anambra,"Public Primary School, Total",2005,1260
Anambra,"Public Primary School, Total",2006,1339
Anambra,"Public Primary School, Total",2007,1029
Anambra,"Public Primary School, Total",2008,1367
Anambra,"Public Primary School, Total",2009,1038
Anambra,"Public Secondary schools, Total",2005,333
Anambra,"Public Secondary schools, Total",2006,333
Anambra,"Public Secondary schools, Total",2007,504
Anambra,"Public Secondary schools, Total",2008,504
Anambra,"Public Secondary schools, Total",2009,504
Bauchi,"Pupils in Primary School, Total",1999,399460
Bauchi,"Pupils in Primary School, Total",2000,777741
Bauchi,"Pupils in Primary School, Total",2001,949574
Bauchi,"Pupils in Primary School, Total",2002,654151
Bauchi,"Pupils in Primary School, Total",2003,654151
Bauchi,"Pupils in Primary School, Total",2004,1233691
Bauchi,"Pupils in Primary School, Total",2005,1294653
Bauchi,"Pupils in Primary School, Total",2006,951935
Bauchi,"Pupils in Primary School, Total",2007,823194
Bauchi,"Pupils in Primary School, Total",2008,682836
Bauchi,"Pupils in Primary School, Total",2009,823194
Bauchi,"Number of nomadic primary school, Total",2004,120
Bauchi,"Number of nomadic primary school, Total",2005,125
Bauchi,"Number of nomadic primary school, Total",2006,125
Bauchi,"Number of nomadic primary school, Total",2007,125
Bauchi,"Number of nomadic primary school, Total",2008,149
Bauchi,"Number of nomadic primary school pupils, Total",2004,31472
Bauchi,"Number of nomadic primary school pupils, Total",2005,31752
Bauchi,"Number of nomadic primary school pupils, Total",2006,31752
Bauchi,"Number of nomadic primary school pupils, Total",2007,31752
Bauchi,"Number of nomadic primary school pupils, Total",2008,24458
Bauchi,"Private secondary schools, Total",2006,30
Bauchi,"Private secondary schools, Total",2007,111
Bauchi,"Public Primary School, Total",2005,1908
Bauchi,"Public Primary School, Total",2006,2274
Bauchi,"Public Primary School, Total",2007,2336
Bauchi,"Public Primary School, Total",2008,2601
Bauchi,"Public Primary School, Total",2009,2601
Bauchi,"Public Secondary schools, Total",2005,153
Bauchi,"Public Secondary schools, Total",2006,153
Bauchi,"Public Secondary schools, Total",2007,288
Bauchi,"Public Secondary schools, Total",2008,288
Bauchi,"Public Secondary schools, Total",2009,288
Bayelsa,"Pupils in Primary School, Total",1999,304859
Bayelsa,"Pupils in Primary School, Total",2000,391047
Bayelsa,"Pupils in Primary School, Total",2001,380710
Bayelsa,"Pupils in Primary School, Total",2002,272317
Bayelsa,"Pupils in Primary School, Total",2003,272317
Bayelsa,"Pupils in Primary School, Total",2004,439336
Bayelsa,"Pupils in Primary School, Total",2005,480504
Bayelsa,"Pupils in Primary School, Total",2006,448658
Bayelsa,"Pupils in Primary School, Total",2007,409129
Bayelsa,"Pupils in Primary School, Total",2008,462827
Bayelsa,"Pupils in Primary School, Total",2009,409129
Bayelsa,"Number of nomadic primary school, Total",2004,52
Bayelsa,"Number of nomadic primary school, Total",2005,65
Bayelsa,"Number of nomadic primary school, Total",2006,65
Bayelsa,"Number of nomadic primary school, Total",2007,65
Bayelsa,"Number of nomadic primary school, Total",2008,56
Bayelsa,"Number of nomadic primary school pupils, Total",2004,14577
Bayelsa,"Number of nomadic primary school pupils, Total",2005,14727
Bayelsa,"Number of nomadic primary school pupils, Total",2006,14727
Bayelsa,"Number of nomadic primary school pupils, Total",2007,14727
Bayelsa,"Number of nomadic primary school pupils, Total",2008,14727
Bayelsa,"Private secondary schools, Total",2006,7
Bayelsa,"Private secondary schools, Total",2007,22
Bayelsa,"Public Primary School, Total",2005,559
Bayelsa,"Public Primary School, Total",2006,535
Bayelsa,"Public Primary School, Total",2007,537
Bayelsa,"Public Primary School, Total",2008,537
Bayelsa,"Public Primary School, Total",2009,537
Bayelsa,"Public Secondary schools, Total",2005,166
Bayelsa,"Public Secondary schools, Total",2006,166
Bayelsa,"Public Secondary schools, Total",2007,297
Bayelsa,"Public Secondary schools, Total",2008,297
Bayelsa,"Public Secondary schools, Total",2009,297
Benue,"Pupils in Primary School, Total",1999,764994
Benue,"Pupils in Primary School, Total",2000,584352
Benue,"Pupils in Primary School, Total",2001,571665
Benue,"Pupils in Primary School, Total",2002,690243
Benue,"Pupils in Primary School, Total",2003,690243
Benue,"Pupils in Primary School, Total",2004,908772
Benue,"Pupils in Primary School, Total",2005,926500
Benue,"Pupils in Primary School, Total",2006,705104
Benue,"Pupils in Primary School, Total",2007,758853
Benue,"Pupils in Primary School, Total",2008,818064
Benue,"Pupils in Primary School, Total",2009,762085
Benue,"Number of nomadic primary school, Total",2004,47
Benue,"Number of nomadic primary school, Total",2005,49
Benue,"Number of nomadic primary school, Total",2006,100
Benue,"Number of nomadic primary school, Total",2007,100
Benue,"Number of nomadic primary school, Total",2008,92
Benue,"Number of nomadic primary school pupils, Total",2004,6398
Benue,"Number of nomadic primary school pupils, Total",2005,6811
Benue,"Number of nomadic primary school pupils, Total",2006,16784
Benue,"Number of nomadic primary school pupils, Total",2007,16784
Benue,"Number of nomadic primary school pupils, Total",2008,5306
Benue,"Private secondary schools, Total",2006,223
Benue,"Private secondary schools, Total",2007,422
Benue,"Private secondary schools, Total",2009,438
