"","states","total_confirmed","new_confirmed","total_recoveries","new_recoveries","total_death","new_death","week","day","month"
"1879","Edo",2673,7,2536,5,110,1,2020-11-08,"Sunday","November"
"1880","Ekiti",338,3,320,0,6,0,2020-11-08,"Sunday","November"
"1881","Enugu",1332,18,1290,21,21,0,2020-11-08,"Sunday","November"
"1882","FCT",6239,121,5398,53,82,1,2020-11-08,"Sunday","November"
"1883","Gombe",938,1,857,20,25,0,2020-11-08,"Sunday","November"
"1884","Imo",622,5,604,21,12,0,2020-11-08,"Sunday","November"
"1885","Jigawa",325,0,308,0,11,0,2020-11-08,"Sunday","November"
"1886","Kaduna",2703,48,2603,36,43,0,2020-11-08,"Sunday","November"
"1887","Kano",1756,9,1687,3,54,0,2020-11-08,"Sunday","November"
"1888","Katsina",953,1,929,1,24,0,2020-11-08,"Sunday","November"
"1889","Kebbi",93,0,84,0,8,0,2020-11-08,"Sunday","November"
"1890","Kogi",5,0,3,0,2,0,2020-11-08,"Sunday","November"
"1891","Kwara",1072,3,1019,0,26,0,2020-11-08,"Sunday","November"
"1892","Lagos",21910,623,20585,162,220,3,2020-11-08,"Sunday","November"
"1893","Nasarawa",483,1,325,0,13,0,2020-11-08,"Sunday","November"
"1894","Niger",281,7,259,0,12,0,2020-11-08,"Sunday","November"
"1895","Ogun",2075,28,1936,14,30,0,2020-11-08,"Sunday","November"
"1896","Ondo",1698,31,1585,0,37,0,2020-11-08,"Sunday","November"
"1897","Osun",932,3,898,1,20,0,2020-11-08,"Sunday","November"
"1898","Oyo",3525,74,3205,589,44,1,2020-11-08,"Sunday","November"
"1899","Plateau",3676,26,3600,97,33,0,2020-11-08,"Sunday","November"
"1900","Rivers",2866,35,2709,31,59,0,2020-11-08,"Sunday","November"
"1901","Sokoto",165,0,148,1,17,0,2020-11-08,"Sunday","November"
"1902","Taraba",152,6,115,8,6,0,2020-11-08,"Sunday","November"
"1903","Yobe",82,0,68,0,8,0,2020-11-08,"Sunday","November"
"1904","Zamfara",79,0,73,0,5,0,2020-11-08,"Sunday","November"
"1905","Abia",898,0,872,0,8,0,2020-11-01,"Sunday","November"
"1906","Adamawa",257,0,238,9,19,0,2020-11-01,"Sunday","November"
"1907","Akwa Ibom",295,0,287,3,8,0,2020-11-01,"Sunday","November"
"1908","Anambra",277,0,248,0,19,0,2020-11-01,"Sunday","November"
"1909","Bauchi",713,3,696,0,14,0,2020-11-01,"Sunday","November"
"1910","Bayelsa",413,10,381,9,21,0,2020-11-01,"Sunday","November"
"1911","Benue",493,7,460,25,11,0,2020-11-01,"Sunday","November"
"1912","Borno",745,0,705,0,36,0,2020-11-01,"Sunday","November"
"1913","Cross River",87,0,74,0,9,0,2020-11-01,"Sunday","November"
"1914","Delta",1814,2,1737,1,49,0,2020-11-01,"Sunday","November"
"1915","Ebonyi",1049,0,1011,0,30,0,2020-11-01,"Sunday","November"
"1916","Edo",2666,18,2531,9,109,1,2020-11-01,"Sunday","November"
"1917","Ekiti",335,3,320,4,6,0,2020-11-01,"Sunday","November"
"1918","Enugu",1314,0,1269,0,21,0,2020-11-01,"Sunday","November"
"1919","FCT",6118,151,5345,9,81,2,2020-11-01,"Sunday","November"
"1920","Gombe",937,54,837,90,25,0,2020-11-01,"Sunday","November"
"1921","Imo",617,3,583,3,12,0,2020-11-01,"Sunday","November"
"1922","Jigawa",325,0,308,0,11,0,2020-11-01,"Sunday","November"
"1923","Kaduna",2655,38,2567,49,43,1,2020-11-01,"Sunday","November"
"1924","Kano",1747,5,1684,2,54,0,2020-11-01,"Sunday","November"
"1925","Katsina",952,0,928,49,24,0,2020-11-01,"Sunday","November"
"1926","Kebbi",93,0,84,0,8,0,2020-11-01,"Sunday","November"
"1927","Kogi",5,0,3,0,2,0,2020-11-01,"Sunday","November"
"1928","Kwara",1069,2,1019,0,26,0,2020-11-01,"Sunday","November"
"1929","Lagos",21287,480,20423,623,217,10,2020-11-01,"Sunday","November"
"1930","Nasarawa",482,4,325,0,13,0,2020-11-01,"Sunday","November"
"1931","Niger",274,0,259,10,12,0,2020-11-01,"Sunday","November"
"1932","Ogun",2047,37,1922,76,30,1,2020-11-01,"Sunday","November"
"1933","Ondo",1667,1,1585,0,37,0,2020-11-01,"Sunday","November"
"1934","Osun",929,6,897,14,20,0,2020-11-01,"Sunday","November"
"1935","Oyo",3451,28,2616,55,43,1,2020-11-01,"Sunday","November"
"1936","Plateau",3650,56,3503,223,33,0,2020-11-01,"Sunday","November"
"1937","Rivers",2831,58,2678,53,59,0,2020-11-01,"Sunday","November"
"1938","Sokoto",165,0,147,2,17,0,2020-11-01,"Sunday","November"
"1939","Taraba",146,6,107,7,6,0,2020-11-01,"Sunday","November"
"1940","Yobe",82,0,68,0,8,0,2020-11-01,"Sunday","November"
"1941","Zamfara",79,0,73,0,5,0,2020-11-01,"Sunday","November"
"1942","Abia",898,0,872,0,8,0,2020-10-25,"Sunday","October"
"1943","Adamawa",257,9,229,0,19,0,2020-10-25,"Sunday","October"
"1944","Akwa Ibom",295,0,284,0,8,0,2020-10-25,"Sunday","October"
"1945","Anambra",277,2,248,19,19,0,2020-10-25,"Sunday","October"
"1946","Bauchi",710,0,696,6,14,0,2020-10-25,"Sunday","October"
"1947","Bayelsa",403,0,381,2,21,0,2020-10-25,"Sunday","October"
"1948","Benue",486,2,435,22,11,1,2020-10-25,"Sunday","October"
"1949","Borno",745,0,705,0,36,0,2020-10-25,"Sunday","October"
"1950","Cross River",87,0,74,0,9,0,2020-10-25,"Sunday","October"
"1951","Delta",1812,0,1737,0,49,0,2020-10-25,"Sunday","October"
"1952","Ebonyi",1049,0,1011,0,30,0,2020-10-25,"Sunday","October"
"1953","Edo",2648,5,2522,0,108,1,2020-10-25,"Sunday","October"
"1954","Ekiti",332,3,316,1,6,0,2020-10-25,"Sunday","October"
"1955","Enugu",1314,1,1269,0,21,0,2020-10-25,"Sunday","October"
"1956","FCT",5967,49,5336,46,79,0,2020-10-25,"Sunday","October"
"1957","Gombe",883,0,747,0,25,0,2020-10-25,"Sunday","October"
"1958","Imo",614,25,580,16,12,0,2020-10-25,"Sunday","October"
"1959","Jigawa",325,0,308,0,11,0,2020-10-25,"Sunday","October"
"1960","Kaduna",2617,59,2504,42,42,0,2020-10-25,"Sunday","October"
"1961","Kano",1742,1,1682,1,54,0,2020-10-25,"Sunday","October"
"1962","Katsina",952,48,879,0,24,0,2020-10-25,"Sunday","October"
"1963","Kebbi",93,0,84,0,8,0,2020-10-25,"Sunday","October"
"1964","Kogi",5,0,3,0,2,0,2020-10-25,"Sunday","October"
"1965","Kwara",1067,17,1019,37,26,1,2020-10-25,"Sunday","October"
"1966","Lagos",20807,162,19800,371,207,0,2020-10-25,"Sunday","October"
"1967","Nasarawa",478,0,325,0,13,0,2020-10-25,"Sunday","October"
"1968","Niger",274,1,249,0,12,0,2020-10-25,"Sunday","October"
"1969","Ogun",2010,30,1839,87,29,0,2020-10-25,"Sunday","October"
"1970","Ondo",1666,9,1585,0,37,1,2020-10-25,"Sunday","October"
"1971","Osun",923,15,883,55,20,0,2020-10-25,"Sunday","October"
"1972","Oyo",3423,8,2561,5,42,1,2020-10-25,"Sunday","October"
"1973","Plateau",3594,13,3280,105,33,0,2020-10-25,"Sunday","October"
"1974","Rivers",2773,64,2633,37,59,0,2020-10-25,"Sunday","October"
"1975","Sokoto",165,3,145,0,17,0,2020-10-25,"Sunday","October"
"1976","Taraba",140,23,103,0,6,0,2020-10-25,"Sunday","October"
"1977","Yobe",82,3,68,2,8,0,2020-10-25,"Sunday","October"
"1978","Zamfara",79,0,73,0,5,0,2020-10-25,"Sunday","October"
"1979","Abia",898,0,872,0,8,0,2020-10-18,"Sunday","October"
"1980","Adamawa",248,0,229,21,19,2,2020-10-18,"Sunday","October"
"1981","Akwa Ibom",295,0,284,6,8,0,2020-10-18,"Sunday","October"
"1982","Anambra",275,25,229,10,9,0,2020-10-18,"Sunday","October"
"1983","Bauchi",710,0,690,3,14,0,2020-10-18,"Sunday","October"
"1984","Bayelsa",403,0,379,3,21,0,2020-10-18,"Sunday","October"
"1985","Benue",484,2,413,0,10,0,2020-10-18,"Sunday","October"
"1986","Borno",745,0,705,0,36,0,2020-10-18,"Sunday","October"
"1987","Cross River",87,0,74,0,9,0,2020-10-18,"Sunday","October"
"1988","Delta",1812,9,1737,0,49,0,2020-10-18,"Sunday","October"
"1989","Ebonyi",1049,7,1011,3,30,0,2020-10-18,"Sunday","October"
"1990","Edo",2643,7,2522,19,107,0,2020-10-18,"Sunday","October"
"1991","Ekiti",329,6,315,3,6,0,2020-10-18,"Sunday","October"
"1992","Enugu",1313,24,1269,103,21,0,2020-10-18,"Sunday","October"
"1993","FCT",5918,112,5290,63,79,0,2020-10-18,"Sunday","October"
"1994","Gombe",883,0,747,0,25,0,2020-10-18,"Sunday","October"
"1995","Imo",589,6,564,13,12,0,2020-10-18,"Sunday","October"
"1996","Jigawa",325,0,308,0,11,0,2020-10-18,"Sunday","October"
"1997","Kaduna",2558,50,2462,70,42,1,2020-10-18,"Sunday","October"
"1998","Kano",1741,1,1681,6,54,0,2020-10-18,"Sunday","October"
"1999","Katsina",904,9,879,10,24,0,2020-10-18,"Sunday","October"
"2000","Kebbi",93,0,84,0,8,0,2020-10-18,"Sunday","October"
"2001","Kogi",5,0,3,0,2,0,2020-10-18,"Sunday","October"
"2002","Kwara",1050,0,982,0,25,0,2020-10-18,"Sunday","October"
"2003","Lagos",20645,623,19429,4179,207,3,2020-10-18,"Sunday","October"
"2004","Nasarawa",478,9,325,0,13,0,2020-10-18,"Sunday","October"
"2005","Niger",273,12,249,7,12,0,2020-10-18,"Sunday","October"
"2006","Ogun",1980,41,1752,11,29,1,2020-10-18,"Sunday","October"
"2007","Ondo",1657,14,1585,40,36,0,2020-10-18,"Sunday","October"
"2008","Osun",908,5,828,12,20,2,2020-10-18,"Sunday","October"
"2009","Oyo",3415,111,2556,3,41,1,2020-10-18,"Sunday","October"
"2010","Plateau",3581,44,3175,177,33,0,2020-10-18,"Sunday","October"
"2011","Rivers",2709,48,2596,100,59,0,2020-10-18,"Sunday","October"
"2012","Sokoto",162,0,145,0,17,0,2020-10-18,"Sunday","October"
"2013","Taraba",117,9,103,14,6,0,2020-10-18,"Sunday","October"
"2014","Yobe",79,0,66,0,8,0,2020-10-18,"Sunday","October"
"2015","Zamfara",79,0,73,0,5,0,2020-10-18,"Sunday","October"
"2016","Lagos",20367,116,15253,3,204,0,2020-10-14,"Wednesday","October"
"2017","FCT",5858,9,5242,1,79,0,2020-10-14,"Wednesday","October"
"2018","Plateau",3547,2,3110,34,33,0,2020-10-14,"Wednesday","October"
"2019","Oyo",3324,9,2554,1,40,0,2020-10-14,"Wednesday","October"
"2020","Rivers",2683,9,2555,28,59,0,2020-10-14,"Wednesday","October"
"2021","Edo",2639,2,2503,0,107,0,2020-10-14,"Wednesday","October"
"2022","Kaduna",2522,2,2418,12,41,0,2020-10-14,"Wednesday","October"
"2023","Ogun",1954,2,1742,0,28,0,2020-10-14,"Wednesday","October"
"2024","Delta",1810,3,1737,0,49,0,2020-10-14,"Wednesday","October"
"2025","Kano",1740,0,1680,5,54,0,2020-10-14,"Wednesday","October"
"2026","Ondo",1652,0,1585,40,36,0,2020-10-14,"Wednesday","October"
"2027","Enugu",1309,0,1269,0,21,0,2020-10-14,"Wednesday","October"
"2028","Kwara",1050,0,982,0,25,0,2020-10-14,"Wednesday","October"
"2029","Ebonyi",1044,0,1010,0,30,0,2020-10-14,"Wednesday","October"
"2030","Osun",907,1,820,3,19,0,2020-10-14,"Wednesday","October"
"2031","Abia",898,0,872,0,8,0,2020-10-14,"Wednesday","October"
"2032","Katsina",896,0,871,1,24,0,2020-10-14,"Wednesday","October"
"2033","Gombe",883,0,747,0,25,0,2020-10-14,"Wednesday","October"
"2034","Borno",745,0,705,0,36,0,2020-10-14,"Wednesday","October"
"2035","Bauchi",710,0,687,0,14,0,2020-10-14,"Wednesday","October"
"2036","Imo",585,0,561,0,12,0,2020-10-14,"Wednesday","October"
"2037","Benue",483,0,413,0,10,0,2020-10-14,"Wednesday","October"
"2038","Nasarawa",475,3,325,0,13,0,2020-10-14,"Wednesday","October"
"2039","Bayelsa",403,0,379,3,21,0,2020-10-14,"Wednesday","October"
"2040","Ekiti",325,1,315,0,6,0,2020-10-14,"Wednesday","October"
"2041","Jigawa",325,0,308,0,11,0,2020-10-14,"Wednesday","October"
"2042","Akwa Ibom",295,0,284,6,8,0,2020-10-14,"Wednesday","October"
"2043","Anambra",275,20,229,0,19,0,2020-10-14,"Wednesday","October"
"2044","Niger",269,0,245,0,12,0,2020-10-14,"Wednesday","October"
"2045","Adamawa",248,0,208,0,17,0,2020-10-14,"Wednesday","October"
"2046","Sokoto",162,0,145,0,17,0,2020-10-14,"Wednesday","October"
"2047","Taraba",108,0,89,0,6,0,2020-10-14,"Wednesday","October"
"2048","Kebbi",93,0,84,0,8,0,2020-10-14,"Wednesday","October"
"2049","Cross River",87,0,74,0,9,0,2020-10-14,"Wednesday","October"
"2050","Yobe",79,0,66,0,8,0,2020-10-14,"Wednesday","October"
"2051","Zamfara",79,0,73,0,5,0,2020-10-14,"Wednesday","October"
"2052","Kogi",5,0,3,0,2,0,2020-10-14,"Wednesday","October"
"2053","Lagos",20251,165,15250,0,204,0,2020-10-13,"Tuesday","October"
"2054","FCT",5849,17,5241,4,79,0,2020-10-13,"Tuesday","October"
"2055","Plateau",3545,0,3076,26,33,0,2020-10-13,"Tuesday","October"
"2056","Oyo",3315,0,2553,0,40,0,2020-10-13,"Tuesday","October"
"2057","Rivers",2674,13,2527,8,59,0,2020-10-13,"Tuesday","October"
"2058","Edo",2637,1,2503,0,107,0,2020-10-13,"Tuesday","October"
"2059","Kaduna",2520,1,2406,14,41,0,2020-10-13,"Tuesday","October"
"2060","Ogun",1952,12,1742,1,28,0,2020-10-13,"Tuesday","October"
"2061","Delta",1807,4,1737,0,49,0,2020-10-13,"Tuesday","October"
"2062","Kano",1740,0,1675,0,54,0,2020-10-13,"Tuesday","October"
"2063","Ondo",1652,2,1545,0,36,0,2020-10-13,"Tuesday","October"
"2064","Enugu",1309,0,1269,0,21,0,2020-10-13,"Tuesday","October"
"2065","Kwara",1050,0,982,0,25,0,2020-10-13,"Tuesday","October"
"2066","Ebonyi",1044,0,1010,0,30,0,2020-10-13,"Tuesday","October"
"2067","Osun",906,0,817,0,19,1,2020-10-13,"Tuesday","October"
"2068","Abia",898,0,872,0,8,0,2020-10-13,"Tuesday","October"
"2069","Katsina",896,0,870,0,24,0,2020-10-13,"Tuesday","October"
"2070","Gombe",883,0,747,0,25,0,2020-10-13,"Tuesday","October"
"2071","Borno",745,0,705,0,36,0,2020-10-13,"Tuesday","October"
"2072","Bauchi",710,0,687,0,14,0,2020-10-13,"Tuesday","October"
"2073","Imo",585,0,561,0,12,0,2020-10-13,"Tuesday","October"
"2074","Benue",483,0,413,0,10,0,2020-10-13,"Tuesday","October"
"2075","Nasarawa",472,0,325,0,13,0,2020-10-13,"Tuesday","October"
"2076","Bayelsa",403,0,376,0,21,0,2020-10-13,"Tuesday","October"
"2077","Jigawa",325,0,308,0,11,0,2020-10-13,"Tuesday","October"
"2078","Ekiti",324,1,315,0,6,0,2020-10-13,"Tuesday","October"
"2079","Akwa Ibom",295,0,278,0,8,0,2020-10-13,"Tuesday","October"
"2080","Niger",269,8,245,0,12,0,2020-10-13,"Tuesday","October"
"2081","Anambra",255,1,229,10,19,0,2020-10-13,"Tuesday","October"
"2082","Adamawa",248,0,208,0,17,0,2020-10-13,"Tuesday","October"
"2083","Sokoto",162,0,145,0,17,0,2020-10-13,"Tuesday","October"
"2084","Taraba",108,0,89,0,6,0,2020-10-13,"Tuesday","October"
"2085","Kebbi",93,0,84,0,8,0,2020-10-13,"Tuesday","October"
"2086","Cross River",87,0,74,0,9,0,2020-10-13,"Tuesday","October"
"2087","Yobe",79,0,66,0,8,0,2020-10-13,"Tuesday","October"
"2088","Zamfara",79,0,73,0,5,0,2020-10-13,"Tuesday","October"
"2089","Kogi",5,0,3,0,2,0,2020-10-13,"Tuesday","October"
"2090","FCT",5806,1,5227,2,79,0,2020-10-11,"Sunday","October"
"2091","Plateau",3537,1,2998,0,33,0,2020-10-11,"Sunday","October"
"2092","Oyo",3304,5,2553,0,40,0,2020-10-11,"Sunday","October"
"2093","Rivers",2661,0,2496,15,59,0,2020-10-11,"Sunday","October"
"2094","Edo",2636,1,2503,0,107,0,2020-10-11,"Sunday","October"
"2095","Kaduna",2508,21,2392,5,41,0,2020-10-11,"Sunday","October"
"2096","Ogun",1939,3,1741,0,28,0,2020-10-11,"Sunday","October"
"2097","Delta",1803,0,1737,0,49,0,2020-10-11,"Sunday","October"
"2098","Kano",1740,0,1675,0,54,0,2020-10-11,"Sunday","October"
"2099","Ondo",1643,5,1545,0,36,0,2020-10-11,"Sunday","October"
"2100","Enugu",1289,0,1166,0,21,0,2020-10-11,"Sunday","October"
"2101","Kwara",1050,0,982,0,25,0,2020-10-11,"Sunday","October"
"2102","Ebonyi",1042,0,1008,0,30,0,2020-10-11,"Sunday","October"
"2103","Osun",903,8,816,1,18,0,2020-10-11,"Sunday","October"
"2104","Abia",898,0,872,0,8,0,2020-10-11,"Sunday","October"
"2105","Katsina",895,1,869,1,24,0,2020-10-11,"Sunday","October"
"2106","Gombe",883,0,747,0,25,0,2020-10-11,"Sunday","October"
"2107","Borno",745,0,705,0,36,0,2020-10-11,"Sunday","October"
"2108","Bauchi",710,0,687,0,14,0,2020-10-11,"Sunday","October"
"2109","Imo",583,0,551,0,12,0,2020-10-11,"Sunday","October"
"2110","Benue",482,0,413,0,10,0,2020-10-11,"Sunday","October"
"2111","Nasarawa",469,0,325,0,13,0,2020-10-11,"Sunday","October"
"2112","Bayelsa",403,2,376,0,21,0,2020-10-11,"Sunday","October"
"2113","Jigawa",325,0,308,0,11,0,2020-10-11,"Sunday","October"
"2114","Ekiti",323,0,312,0,6,0,2020-10-11,"Sunday","October"
"2115","Akwa Ibom",295,0,278,0,8,0,2020-10-11,"Sunday","October"
"2116","Niger",261,0,242,0,12,0,2020-10-11,"Sunday","October"
"2117","Anambra",250,0,219,0,19,0,2020-10-11,"Sunday","October"
"2118","Adamawa",248,0,208,0,17,0,2020-10-11,"Sunday","October"
"2119","Sokoto",162,0,145,0,17,0,2020-10-11,"Sunday","October"
"2120","Taraba",108,2,89,0,6,0,2020-10-11,"Sunday","October"
"2121","Kebbi",93,0,84,0,8,0,2020-10-11,"Sunday","October"
"2122","Cross River",87,0,74,0,9,0,2020-10-11,"Sunday","October"
"2123","Zamfara",79,0,73,0,5,0,2020-10-11,"Sunday","October"
"2124","Yobe",79,0,66,0,8,0,2020-10-11,"Sunday","October"
"2125","Kogi",5,0,3,0,2,0,2020-10-11,"Sunday","October"
"2126","Lagos",19776,84,15250,0,204,0,2020-10-07,"Wednesday","October"
"2127","FCT",5765,7,5219,8,79,0,2020-10-07,"Wednesday","October"
"2128","Plateau",3498,0,2848,57,33,0,2020-10-07,"Wednesday","October"
"2129","Oyo",3279,6,2523,1,40,0,2020-10-07,"Wednesday","October"
"2130","Edo",2634,0,2495,0,107,0,2020-10-07,"Wednesday","October"
"2131","Rivers",2632,31,2414,16,59,0,2020-10-07,"Wednesday","October"
"2132","Kaduna",2463,12,2375,13,40,0,2020-10-07,"Wednesday","October"
"2133","Ogun",1898,3,1733,0,28,0,2020-10-07,"Wednesday","October"
"2134","Delta",1803,0,1737,0,49,0,2020-10-07,"Wednesday","October"
"2135","Kano",1738,0,1675,0,54,0,2020-10-07,"Wednesday","October"
"2136","Ondo",1638,0,1545,0,36,0,2020-10-07,"Wednesday","October"
"2137","Enugu",1289,0,1166,0,21,0,2020-10-07,"Wednesday","October"
"2138","Kwara",1050,2,982,0,25,0,2020-10-07,"Wednesday","October"
"2139","Ebonyi",1042,0,1008,0,30,0,2020-10-07,"Wednesday","October"
"2140","Abia",898,0,872,0,8,0,2020-10-07,"Wednesday","October"
"2141","Katsina",894,0,861,0,24,0,2020-10-07,"Wednesday","October"
"2142","Gombe",883,0,747,0,25,0,2020-10-07,"Wednesday","October"
"2143","Osun",874,10,806,0,17,0,2020-10-07,"Wednesday","October"
"2144","Borno",745,0,705,0,36,0,2020-10-07,"Wednesday","October"
"2145","Bauchi",704,0,687,0,14,0,2020-10-07,"Wednesday","October"
"2146","Imo",577,0,547,0,12,0,2020-10-07,"Wednesday","October"
"2147","Benue",481,0,413,0,10,0,2020-10-07,"Wednesday","October"
"2148","Nasarawa",468,0,325,0,13,0,2020-10-07,"Wednesday","October"
"2149","Bayelsa",401,0,373,0,21,0,2020-10-07,"Wednesday","October"
"2150","Jigawa",325,0,308,0,11,0,2020-10-07,"Wednesday","October"
"2151","Ekiti",322,0,312,0,6,0,2020-10-07,"Wednesday","October"
"2152","Akwa Ibom",294,0,278,0,8,0,2020-10-07,"Wednesday","October"
"2153","Niger",261,0,242,0,12,0,2020-10-07,"Wednesday","October"
"2154","Anambra",250,0,219,0,19,0,2020-10-07,"Wednesday","October"
"2155","Adamawa",248,0,208,0,17,0,2020-10-07,"Wednesday","October"
"2156","Sokoto",162,0,145,0,17,0,2020-10-07,"Wednesday","October"
"2157","Taraba",106,0,89,0,6,0,2020-10-07,"Wednesday","October"
"2158","Kebbi",93,0,84,0,8,0,2020-10-07,"Wednesday","October"
"2159","Cross River",87,0,74,0,9,0,2020-10-07,"Wednesday","October"
"2160","Zamfara",79,0,73,0,5,0,2020-10-07,"Wednesday","October"
"2161","Yobe",76,0,62,0,8,0,2020-10-07,"Wednesday","October"
"2162","Kogi",5,0,3,0,2,0,2020-10-07,"Wednesday","October"
"2163","Lagos",19692,41,15250,0,204,0,2020-10-06,"Tuesday","October"
"2164","FCT",5758,0,5211,213,79,0,2020-10-06,"Tuesday","October"
"2165","Plateau",3498,1,2791,76,33,0,2020-10-06,"Tuesday","October"
"2166","Oyo",3273,0,2522,25,40,0,2020-10-06,"Tuesday","October"
"2167","Edo",2634,3,2495,0,107,0,2020-10-06,"Tuesday","October"
"2168","Rivers",2601,19,2398,20,59,0,2020-10-06,"Tuesday","October"
"2169","Kaduna",2451,5,2362,6,40,0,2020-10-06,"Tuesday","October"
"2170","Ogun",1895,3,1733,0,28,0,2020-10-06,"Tuesday","October"
"2171","Delta",1803,0,1737,0,49,0,2020-10-06,"Tuesday","October"
"2172","Kano",1738,0,1675,0,54,0,2020-10-06,"Tuesday","October"
"2173","Ondo",1638,3,1545,0,36,0,2020-10-06,"Tuesday","October"
"2174","Enugu",1289,0,1166,0,21,0,2020-10-06,"Tuesday","October"
"2175","Kwara",1048,3,982,0,25,0,2020-10-06,"Tuesday","October"
"2176","Ebonyi",1042,0,1008,0,30,0,2020-10-06,"Tuesday","October"
"2177","Abia",898,0,872,0,8,0,2020-10-06,"Tuesday","October"
"2178","Katsina",894,2,861,6,24,0,2020-10-06,"Tuesday","October"
"2179","Gombe",883,0,747,0,25,0,2020-10-06,"Tuesday","October"
"2180","Osun",864,17,806,1,17,0,2020-10-06,"Tuesday","October"
"2181","Borno",745,0,705,0,36,0,2020-10-06,"Tuesday","October"
"2182","Bauchi",704,0,687,0,14,0,2020-10-06,"Tuesday","October"
"2183","Imo",577,0,547,0,12,0,2020-10-06,"Tuesday","October"
"2184","Benue",481,0,413,0,10,0,2020-10-06,"Tuesday","October"
"2185","Nasarawa",468,13,325,0,13,0,2020-10-06,"Tuesday","October"
"2186","Bayelsa",401,0,373,0,21,0,2020-10-06,"Tuesday","October"
"2187","Jigawa",325,0,308,0,11,0,2020-10-06,"Tuesday","October"
"2188","Ekiti",322,0,312,0,6,0,2020-10-06,"Tuesday","October"
"2189","Akwa Ibom",294,1,278,0,8,0,2020-10-06,"Tuesday","October"
"2190","Niger",261,2,242,10,12,0,2020-10-06,"Tuesday","October"
"2191","Anambra",250,5,219,0,19,0,2020-10-06,"Tuesday","October"
"2192","Adamawa",248,0,208,0,17,0,2020-10-06,"Tuesday","October"
"2193","Sokoto",162,0,145,0,17,0,2020-10-06,"Tuesday","October"
"2194","Taraba",106,0,89,0,6,0,2020-10-06,"Tuesday","October"
"2195","Kebbi",93,0,84,0,8,0,2020-10-06,"Tuesday","October"
"2196","Cross River",87,0,74,0,9,0,2020-10-06,"Tuesday","October"
"2197","Zamfara",79,0,73,0,5,0,2020-10-06,"Tuesday","October"
"2198","Yobe",76,0,62,0,8,0,2020-10-06,"Tuesday","October"
"2199","Kogi",5,0,3,0,2,0,2020-10-06,"Tuesday","October"
"2200","Lagos",19651,15,15250,0,204,0,2020-10-04,"Sunday","October"
"2201","FCT",5746,1,4984,0,79,0,2020-10-04,"Sunday","October"
"2202","Plateau",3497,18,2715,36,33,0,2020-10-04,"Sunday","October"
"2203","Oyo",3268,0,2430,0,40,0,2020-10-04,"Sunday","October"
"2204","Edo",2631,3,2495,0,107,0,2020-10-04,"Sunday","October"
"2205","Rivers",2517,0,2334,0,59,0,2020-10-04,"Sunday","October"
"2206","Kaduna",2444,4,2347,2,40,0,2020-10-04,"Sunday","October"
"2207","Ogun",1883,5,1733,1,28,0,2020-10-04,"Sunday","October"
"2208","Delta",1802,0,1737,0,49,0,2020-10-04,"Sunday","October"
"2209","Kano",1738,0,1670,0,54,0,2020-10-04,"Sunday","October"
"2210","Ondo",1635,1,1545,0,36,0,2020-10-04,"Sunday","October"
"2211","Enugu",1289,0,1166,0,21,0,2020-10-04,"Sunday","October"
"2212","Kwara",1044,0,982,0,25,0,2020-10-04,"Sunday","October"
"2213","Ebonyi",1042,0,1008,0,30,0,2020-10-04,"Sunday","October"
"2214","Abia",898,0,872,0,8,0,2020-10-04,"Sunday","October"
"2215","Katsina",884,10,841,6,24,0,2020-10-04,"Sunday","October"
"2216","Gombe",883,0,747,0,25,0,2020-10-04,"Sunday","October"
"2217","Osun",847,0,805,3,17,0,2020-10-04,"Sunday","October"
"2218","Borno",745,0,705,0,36,0,2020-10-04,"Sunday","October"
"2219","Bauchi",699,0,677,0,14,0,2020-10-04,"Sunday","October"
"2220","Imo",576,0,535,0,12,0,2020-10-04,"Sunday","October"
"2221","Benue",481,0,413,0,10,0,2020-10-04,"Sunday","October"
"2222","Nasarawa",452,0,325,0,13,0,2020-10-04,"Sunday","October"
"2223","Bayelsa",401,0,373,0,21,0,2020-10-04,"Sunday","October"
"2224","Jigawa",325,0,308,0,11,0,2020-10-04,"Sunday","October"
"2225","Ekiti",322,1,305,2,6,0,2020-10-04,"Sunday","October"
"2226","Akwa Ibom",293,0,278,0,8,0,2020-10-04,"Sunday","October"
"2227","Niger",259,0,232,0,12,0,2020-10-04,"Sunday","October"
"2228","Adamawa",248,0,208,0,17,0,2020-10-04,"Sunday","October"
"2229","Anambra",238,0,219,0,19,0,2020-10-04,"Sunday","October"
"2230","Sokoto",162,0,144,0,17,0,2020-10-04,"Sunday","October"
"2231","Taraba",105,0,89,0,6,0,2020-10-04,"Sunday","October"
"2232","Kebbi",93,0,84,0,8,0,2020-10-04,"Sunday","October"
"2233","Cross River",87,0,74,0,9,0,2020-10-04,"Sunday","October"
"2234","Zamfara",79,0,73,0,5,0,2020-10-04,"Sunday","October"
"2235","Yobe",76,0,62,0,8,0,2020-10-04,"Sunday","October"
"2236","Kogi",5,0,3,0,2,0,2020-10-04,"Sunday","October"
"2237","Lagos",19604,62,15250,1,204,0,2020-10-02,"Friday","October"
"2238","FCT",5727,7,4982,5,79,0,2020-10-02,"Friday","October"
"2239","Plateau",3458,7,2655,13,33,0,2020-10-02,"Friday","October"
"2240","Oyo",3267,0,2389,52,40,0,2020-10-02,"Friday","October"
"2241","Edo",2628,0,2495,0,107,0,2020-10-02,"Friday","October"
